name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;449;0;724;3051;1032;3051;1032;0
header;192;134;192;171;1811;171;1811;134
A;633;196;633;220;647;220;647;196
A;991;197;991;224;1013;224;1013;197
A;657;340;657;346;663;346;663;340
B;994;855;994;881;1014;881;1014;855
A;999;1008;999;1009;1000;1009;1000;1008
A;791;1168;791;1173;796;1173;796;1168
A;630;1352;630;1356;635;1356;635;1352
C;995;1533;995;1561;1015;1561;1015;1533
A;1000;1582;1000;1586;1004;1586;1004;1582
A;910;1813;910;1819;916;1819;916;1813
D;996;2210;996;2237;1018;2237;1018;2210
