name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;818;0;772;3043;1849;3043;1849;0
header;231;115;231;152;1847;152;1847;115
A;1028;185;1028;210;1050;210;1050;185
A;988;271;988;272;990;272;990;271
A;1746;285;1746;290;1753;290;1753;285
A;1042;471;1042;479;1048;479;1048;471
B;1031;853;1031;880;1051;880;1051;853
A;1590;1059;1590;1065;1595;1065;1595;1059
A;1292;1196;1292;1203;1298;1203;1298;1196
D;1749;1369;1749;1395;1780;1395;1780;1369
A;1517;1436;1517;1447;1524;1447;1524;1436
C;1027;1532;1027;1560;1048;1560;1048;1532
D;1029;2208;1029;2235;1052;2235;1052;2208
A;1626;2583;1626;2586;1631;2586;1631;2583
